shape class,average accuracy,average TPR,average PPV,average LR
Airplane,0.958511,0.61,0.61,4.1
Ant,0.958511,0.61,0.61,3.8
Armadillo,0.931915,0.36,0.36,1.8
Bearing,0.916014,0.210526,0.210526,1.10526
Bird,0.915426,0.205,0.205,1.05
Bust,0.934491,0.384211,0.384211,2.10526
Chair,0.951064,0.54,0.54,4.2
Cup,0.964539,0.62963,0.566667,3.55556
Fish,0.954255,0.57,0.57,4.7
FourLeg,0.919149,0.24,0.24,1.8
Glasses,0.959811,0.580247,0.522222,4.55556
Hand,0.920213,0.25,0.25,1.6
Human,0.942553,0.46,0.46,2.6
Mech,0.974468,0.76,0.76,7.6
Octopus,0.925532,0.3,0.3,1.7
Plier,0.982979,0.84,0.84,7.6
Table,0.937234,0.41,0.41,2.5
Teddy,0.960638,0.63,0.63,4.7
Vase,0.914894,0.2,0.2,1.4
,,,,
overall accuracy,overall TPR,overall PPV,overall LR,
0.943274,0.462611,0.456243,3.28798,
