shape class,average accuracy,average TPR,average PPV,average LR
Airplane,0.947872,0.51,0.51,2.9
Ant,0.95,0.53,0.53,2.8
Armadillo,0.92766,0.32,0.32,1.9
Bearing,0.914334,0.194737,0.194737,1
Bird,0.907979,0.135,0.135,0.85
Bust,0.93785,0.41579,0.41579,1.89474
Chair,0.959575,0.62,0.62,4.1
Cup,0.955083,0.530864,0.477778,2.88889
Fish,0.965958,0.68,0.68,4.8
FourLeg,0.923404,0.28,0.28,1.7
Glasses,0.946809,0.444444,0.4,3.11111
Hand,0.918085,0.23,0.23,1.4
Human,0.935106,0.39,0.39,2.7
Mech,0.971277,0.73,0.73,7.1
Octopus,0.921277,0.26,0.26,1.7
Plier,0.975532,0.77,0.77,5.9
Table,0.930851,0.35,0.35,1.6
Teddy,0.96383,0.66,0.66,4.3
Vase,0.917021,0.22,0.22,1.5
,,,,
overall accuracy,overall TPR,overall PPV,overall LR,
0.9405,0.435307,0.430174,2.84972,
