sep=;
1.34185;1.21512;13.7291;14.5755;0.353173;0.303341;1.09113;0.142073;18.4689;22.5612
0.00408291;1;0;1.90188;0;0.943499;0;0.582202;0;179.869
name;Surface Area;Compactness;Bounding Box Volume;Diameter;Eccentricity;D1-1;D1-2;D1-3;D1-4;D1-5;D1-6;D1-7;D1-8;D1-9;D1-10;D1-11;D1-12;D1-13;D1-14;D2-1;D2-2;D2-3;D2-4;D2-5;D2-6;D2-7;D2-8;D2-9;D2-10;D2-11;D2-12;D2-13;D2-14;D3-1;D3-2;D3-3;D3-4;D3-5;D3-6;D3-7;D3-8;D3-9;D3-10;D3-11;D3-12;D3-13;D3-14;D4-1;D4-2;D4-3;D4-4;D4-5;D4-6;D4-7;D4-8;D4-9;D4-10;D4-11;D4-12;D4-13;D4-14;A3-1;A3-2;A3-3;A3-4;A3-5;A3-6;A3-7;A3-8;A3-9;A3-10;A3-11;A3-12;A3-13;A3-14
Airplane/61.off;-0.349574;-0.0729724;-0.405204;-0.332572;0.214721;0.0508982;0.173653;0.235529;0.260479;0.0918164;0.0758483;0.0928144;0.0189621;0;0;0;0;0;0;0.137264;0.26808;0.262858;0.215084;0.0778753;0.024445;0.0123851;0.00200997;0;0;0;0;0;0;0.0911287;0.352577;0.305327;0.15869;0.0732889;0.0181563;0.000832287;0;0;0;0;0;0;0;0.166604;0.495391;0.268657;0.0603829;0.00887135;9.47584e-05;0;0;0;0;0;0;0;0;0.127746;0.148355;0.127699;0.108782;0.0920211;0.0777781;0.0644636;0.0541329;0.046969;0.0424643;0.0389852;0.0332781;0.026322;0.0110038;
Airplane/62.off;-0.32339;-0.227413;-0.323689;-0.277605;0.107839;0.027229;0.190425;0.194697;0.186688;0.160883;0.13134;0.102865;0.00587293;0;0;0;0;0;0;0.116149;0.249091;0.261575;0.217486;0.103748;0.0377252;0.0132912;0.000934154;0;0;0;0;0;0;0.0669255;0.320185;0.351478;0.166704;0.0689001;0.0233578;0.0024458;4.12446e-06;0;0;0;0;0;0;0.121548;0.433551;0.333827;0.0942492;0.0160399;0.000784706;0;0;0;0;0;0;0;0;0.120068;0.15241;0.129676;0.11028;0.0906454;0.0722706;0.0612228;0.0524204;0.0475347;0.0461862;0.0438644;0.0386261;0.0259257;0.00886938;
Airplane/63.off;-0.328551;-0.193925;-0.331121;-0.320429;0.0953124;0.0302591;0.200217;0.219786;0.17775;0.152745;0.170683;0.0485595;0;0;0;0;0;0;0;0.122353;0.247012;0.266386;0.230327;0.0998572;0.0289003;0.00478287;0.000381069;0;0;0;0;0;0;0.0714446;0.335434;0.328225;0.157613;0.077761;0.0268085;0.00270662;7.21766e-06;0;0;0;0;0;0;0.12794;0.437755;0.322155;0.100891;0.011144;0.000115959;0;0;0;0;0;0;0;0;0.118486;0.149629;0.131201;0.11674;0.0995389;0.0781748;0.0616563;0.0522567;0.0462626;0.042418;0.0380621;0.0324659;0.0239705;0.00913869;
Airplane/64.off;-0.27497;-0.10977;-0.271474;-0.27936;0.286857;0.0364867;0.141239;0.179344;0.204502;0.163454;0.16316;0.096366;0.015448;0;0;0;0;0;0;0.11125;0.21792;0.245084;0.236549;0.126309;0.0428303;0.0182077;0.00184927;0;0;0;0;0;0;0.0519633;0.274625;0.315901;0.197346;0.10918;0.0450104;0.00579695;0.000177353;0;0;0;0;0;0;0.10279;0.398439;0.366466;0.116573;0.0149848;0.000742303;5.41827e-06;0;0;0;0;0;0;0;0.126737;0.149287;0.127141;0.115407;0.0943701;0.0744213;0.0622124;0.052889;0.0467799;0.0415667;0.0383534;0.0355761;0.0260445;0.00921516;
Airplane/65.off;-0.29466;-0.0358533;-0.2663;-0.325142;0.385026;0.0359802;0.149814;0.173542;0.147333;0.195875;0.185949;0.0806452;0.0277605;0.00310174;0;0;0;0;0;0.108197;0.195755;0.234653;0.247169;0.133152;0.0586244;0.021285;0.00116417;0;0;0;0;0;0;0.0576175;0.271772;0.303505;0.187919;0.108688;0.0534773;0.0144948;0.00248454;4.2268e-05;0;0;0;0;0;0.121088;0.415642;0.331402;0.113015;0.0181218;0.000731592;0;0;0;0;0;0;0;0;0.135554;0.139198;0.119472;0.113124;0.095465;0.0754039;0.0625456;0.0525341;0.0457477;0.0419854;0.0402677;0.0382644;0.0295118;0.010926;
Airplane/66.off;-0.243006;0.316226;-0.320521;-0.274767;0.962295;0.0394108;0.125856;0.167463;0.216307;0.191239;0.184003;0.0536245;0.0177025;0.00439333;0;0;0;0;0;0.106024;0.209633;0.256639;0.243304;0.127842;0.0432511;0.0124428;0.000864123;0;0;0;0;0;0;0.0625429;0.281939;0.294903;0.192426;0.1161;0.0429334;0.00822957;0.000913366;1.13398e-05;0;0;0;0;0;0.14987;0.47077;0.304989;0.0676051;0.00662302;0.000143013;0;0;0;0;0;0;0;0;0.136541;0.151589;0.130073;0.116224;0.0955266;0.0765221;0.0608766;0.0499521;0.042898;0.0374141;0.0338746;0.0314013;0.0258947;0.0112122;
Airplane/67.off;-0.22588;-0.044035;-0.195281;-0.232668;0.324071;0.0294079;0.122337;0.156189;0.195269;0.174226;0.192001;0.0984185;0.0321527;0;0;0;0;0;0;0.0967551;0.202125;0.23446;0.246347;0.138987;0.0570691;0.0225388;0.00171721;0;0;0;0;0;0;0.0445655;0.241148;0.30171;0.212257;0.125878;0.0584792;0.0140848;0.00184423;3.29878e-05;0;0;0;0;0;0.0988763;0.372998;0.367877;0.132735;0.0243439;0.00302051;0.000149509;0;0;0;0;0;0;0;0.123884;0.142107;0.123025;0.112656;0.0978607;0.0797084;0.0662176;0.0552427;0.0473713;0.0413147;0.0385906;0.0357644;0.0262185;0.0100387;
Airplane/68.off;-0.326951;0.0463191;-0.291156;-0.341352;0.324814;0.0605409;0.110693;0.196668;0.251836;0.186459;0.0927817;0.0664517;0.0345692;0;0;0;0;0;0;0.120157;0.224148;0.278826;0.219377;0.105052;0.0443712;0.00764941;0.000418077;0;0;0;0;0;0;0.072231;0.302933;0.285142;0.195156;0.100811;0.0326557;0.00893695;0.00186887;0.000265066;0;0;0;0;0;0.153584;0.466639;0.298432;0.0700434;0.0100454;0.00116288;9.32034e-05;0;0;0;0;0;0;0;0.13482;0.147978;0.129313;0.115725;0.0964099;0.0776125;0.06291;0.0516094;0.0438044;0.0381773;0.0350291;0.0308497;0.0252246;0.0105376;
Airplane/69.off;-0.295362;-0.00449674;-0.367219;-0.318937;0.389343;0.0414863;0.162364;0.174153;0.167736;0.179525;0.182212;0.0732726;0.0192509;0;0;0;0;0;0;0.117164;0.223242;0.221023;0.228665;0.153113;0.046072;0.00972348;0.000998152;0;0;0;0;0;0;0.0646432;0.312057;0.306874;0.175979;0.0857826;0.0403939;0.0127047;0.00155805;0;0;0;0;0;0;0.129489;0.436526;0.329618;0.093786;0.0104925;8.88556e-05;0;0;0;0;0;0;0;0;0.136015;0.156362;0.123028;0.106486;0.0926115;0.0767335;0.061309;0.0515938;0.045763;0.0421878;0.0383219;0.0338581;0.0256314;0.0100988;
Airplane/70.off;-0.340011;0.244382;-0.371265;-0.315357;1.26282;0.0580714;0.13035;0.203339;0.253951;0.15983;0.0921684;0.0992719;0.003019;0;0;0;0;0;0;0.133341;0.225296;0.2809;0.225665;0.0866058;0.0318074;0.0148045;0.00158127;0;0;0;0;0;0;0.0859842;0.332368;0.293495;0.172576;0.0967973;0.01861;0.000165037;0;0;0;0;0;0;0;0.202976;0.532207;0.235906;0.0279756;0.000933099;3.25121e-06;0;0;0;0;0;0;0;0;0.155214;0.144088;0.120834;0.103483;0.0872371;0.0704294;0.0577243;0.0491632;0.0446801;0.0406454;0.038245;0.0374985;0.0335258;0.0172325;
Ant/81.off;-0.282874;-0.118992;-0.214712;-0.291787;-0.217165;0.0205651;0.153689;0.219152;0.221036;0.185557;0.124804;0.055259;0.0199372;0;0;0;0;0;0;0.0969399;0.270939;0.289223;0.189629;0.0967208;0.0436356;0.0121881;0.000724126;0;0;0;0;0;0;0.0508399;0.280174;0.367581;0.230966;0.0653664;0.00502533;4.74282e-05;0;0;0;0;0;0;0;0.0920456;0.368672;0.360383;0.152959;0.0251352;0.000804204;0;0;0;0;0;0;0;0;0.11337;0.171715;0.146527;0.118392;0.0919917;0.0738105;0.0612247;0.0528094;0.04635;0.0409154;0.0340065;0.0263985;0.0165037;0.00598513;
